X,Y,Z,M
6.454013,4.908697,3.535006,10.000000
7.148206,4.588003,4.557082,10.000000
6.678152,5.055380,3.842815,10.000000
2.857718,4.721141,0.585134,10.000000
6.436078,4.836522,3.771514,10.000000
6.734991,4.764781,3.998820,10.000000
6.819754,4.618161,4.010530,10.000000
6.603404,4.746893,3.972814,10.000000
0.881185,3.657217,1.627794,10.000000
2.824325,3.936182,1.136958,10.000000
4.276495,7.532184,3.793638,10.000000
7.541986,6.181204,2.959112,10.000000
6.815087,4.433482,3.914232,10.000000
6.470818,4.694678,4.201455,10.000000
6.750820,4.473917,4.048604,10.000000
