X,Y,Z,M
6.348235,3.828429,3.235816,10.000000
5.412828,4.399158,2.177770,10.000000
6.104700,4.075282,3.115482,10.000000
4.149395,5.105560,3.809670,10.000000
6.368102,4.382010,3.106640,10.000000
6.056030,4.163214,2.592426,10.000000
5.781600,4.063871,2.783839,10.000000
6.056736,4.449917,2.767478,10.000000
4.369552,6.230421,4.440351,10.000000
3.885340,5.110312,3.855285,10.000000
7.734499,1.790295,5.309416,10.000000
5.131910,2.869763,3.944908,10.000000
5.917604,4.311584,2.972877,10.000000
6.088502,4.138189,3.003644,10.000000
5.881994,4.229107,2.832789,10.000000
