X,Y,Z,M
6.006321,3.302135,2.850883,10.000000
4.400652,4.405560,2.225112,10.000000
5.493905,4.582226,3.239229,10.000000
6.655221,4.195020,4.597356,10.000000
5.548829,4.865891,3.011971,10.000000
5.500913,3.982539,2.106977,10.000000
4.847162,3.310773,2.682816,10.000000
4.926688,4.907922,2.540802,10.000000
6.939479,5.574557,4.262251,10.000000
6.462924,4.949989,4.327219,10.000000
8.437993,4.119741,5.066526,10.000000
4.968669,4.217327,3.153023,10.000000
5.410933,3.534602,3.050755,10.000000
4.706248,3.796814,3.857685,10.000000
4.978759,3.401499,2.973034,10.000000
