X,Y,Z,M
5.363613,5.406125,3.991565,10.000000
5.735149,5.158234,3.586687,10.000000
5.366113,4.828753,3.728042,10.000000
4.773443,0.586387,6.032457,10.000000
5.483673,4.732157,3.978007,10.000000
5.397705,5.094325,4.127130,10.000000
5.769982,5.733222,3.746960,10.000000
5.881027,4.631339,4.109936,10.000000
8.002447,4.640633,9.969450,10.000000
4.858127,8.524291,6.789940,10.000000
6.169087,2.651801,5.293357,10.000000
5.327174,3.871644,4.512795,10.000000
5.306143,5.838518,3.648979,10.000000
6.160665,5.593919,2.897978,10.000000
5.716087,5.860963,3.562862,10.000000
