X,Y,Z,M
4.013666,5.968939,3.850110,10.000000
5.570066,5.286690,4.423536,10.000000
4.622517,5.136530,3.457563,10.000000
7.941468,4.205904,6.644836,10.000000
4.449909,4.627942,3.677976,10.000000
4.476795,5.384540,4.782796,10.000000
4.902970,5.883990,4.062622,10.000000
5.038686,4.287135,4.357393,10.000000
5.455645,0.549968,5.569878,10.000000
3.455723,3.610563,2.605084,10.000000
5.565091,5.612181,2.480064,10.000000
5.584960,5.109837,3.985946,10.000000
4.397506,5.801920,3.798054,10.000000
5.093075,5.780836,2.569080,10.000000
4.788404,5.915571,3.765795,10.000000
