X,Y,Z,M
2.258661,6.226930,5.458972,10.000000
4.085283,6.623524,5.464314,10.000000
3.935958,5.878671,5.753067,10.000000
4.921758,5.770406,1.982859,10.000000
3.663052,5.478143,5.839988,10.000000
2.937158,5.159163,6.350703,10.000000
2.913357,5.132687,5.561152,10.000000
3.665339,4.661598,5.983961,10.000000
3.344189,4.177681,3.205852,10.000000
5.314484,8.047845,6.960186,10.000000
4.956949,4.416554,4.767748,10.000000
4.174893,5.313398,5.967890,10.000000
2.976191,5.526338,5.732452,10.000000
3.298660,5.243761,5.784911,10.000000
2.975716,5.520375,5.293974,10.000000
