X,Y,Z,M
4.601943,5.122099,3.897917,10.000000
6.303524,4.947299,3.667034,10.000000
5.396351,4.455703,3.441386,10.000000
9.005283,5.389335,2.123547,10.000000
5.192179,3.827765,3.636271,10.000000
5.079668,4.678045,4.592283,10.000000
5.420630,5.052729,3.776274,10.000000
5.869236,3.560141,3.960979,10.000000
9.389191,6.593215,7.351351,10.000000
2.137248,4.724751,5.001355,10.000000
4.318135,5.596921,5.029822,10.000000
6.380323,4.043337,4.112685,10.000000
5.031151,5.040257,3.686241,10.000000
5.863883,4.970721,2.310221,10.000000
5.389207,5.165016,3.468828,10.000000
