X,Y,Z,M
2.813315,4.426036,5.536648,10.000000
2.607159,3.314277,6.342761,10.000000
2.819263,4.867815,6.339546,10.000000
5.965414,7.527990,4.342705,10.000000
2.995586,5.509762,6.103690,10.000000
2.557686,4.354229,5.706693,10.000000
2.303834,3.795818,5.950792,10.000000
2.322195,5.002238,6.369663,10.000000
7.172732,4.819958,6.466731,10.000000
2.464180,6.327840,7.597856,10.000000
0.969995,5.786185,6.438000,10.000000
2.327733,5.291969,5.020646,10.000000
3.086880,3.845617,6.183828,10.000000
2.534206,4.633809,5.365854,10.000000
2.463100,3.669432,6.320815,10.000000
