X,Y,Z,M
3.749874,4.671149,4.745667,10.000000
5.462292,3.443474,6.064453,10.000000
4.319010,3.799308,4.625622,10.000000
0.581841,6.862122,1.008683,10.000000
4.139868,3.417429,4.727692,10.000000
4.363123,3.992462,5.681300,10.000000
4.724735,4.338484,5.350984,10.000000
4.608708,3.202595,5.348686,10.000000
3.008507,5.913719,2.469560,10.000000
7.186638,1.050533,6.636266,10.000000
4.297813,5.304560,4.217409,10.000000
5.343435,4.460857,4.552524,10.000000
4.362934,4.117662,5.022001,10.000000
4.581686,4.303144,4.375907,10.000000
4.594107,4.277948,5.166130,10.000000
