X,Y,Z,M
5.356460,5.224081,3.384481,10.000000
5.760859,5.939988,2.512552,10.000000
5.076981,4.679492,2.492964,10.000000
3.892175,3.043580,7.351349,10.000000
4.983860,4.216146,2.723400,10.000000
5.326106,5.366154,3.476215,10.000000
5.912268,6.037762,3.107274,10.000000
5.857651,4.383129,2.917683,10.000000
1.178346,1.091967,9.207722,10.000000
4.845483,4.759356,8.244356,10.000000
4.432666,6.800079,3.416499,10.000000
5.820634,4.185855,3.590824,10.000000
5.066875,5.924547,2.768910,10.000000
6.108425,5.413070,2.124082,10.000000
5.746788,6.099371,2.723210,10.000000
