X,Y,Z,M
5.035727,5.531239,3.837034,10.000000
6.252579,4.832154,4.084596,10.000000
5.244013,4.550278,3.455047,10.000000
4.409333,1.240000,5.908137,10.000000
5.251729,4.268239,3.761755,10.000000
5.352798,4.954546,4.459723,10.000000
5.981412,5.760295,3.905539,10.000000
5.937995,4.167521,4.240092,10.000000
8.392877,5.475060,9.665251,10.000000
4.532369,8.606302,6.477202,10.000000
5.721556,2.693799,6.200259,10.000000
5.809518,4.032524,4.168456,10.000000
5.304234,5.690979,3.592013,10.000000
6.237083,5.523515,2.612004,10.000000
5.848178,5.826074,3.610185,10.000000
