X,Y,Z,M
4.713843,3.553133,4.785599,10.000000
3.080605,4.402982,4.293852,10.000000
4.320403,4.703969,5.323173,10.000000
3.179966,5.816670,1.127590,10.000000
4.437150,5.100373,5.076123,10.000000
4.236969,4.194049,3.982205,10.000000
3.546322,3.462494,4.568648,10.000000
3.692660,5.195528,4.476370,10.000000
6.642104,7.854486,2.398773,10.000000
7.092543,1.247513,9.622860,10.000000
5.641614,2.073591,3.743560,10.000000
3.373627,4.713407,4.664298,10.000000
4.283257,3.650249,4.960796,10.000000
3.378924,3.737620,6.058561,10.000000
3.708450,3.450243,4.915057,10.000000
