X,Y,Z,M
5.781067,4.017199,4.181449,10.000000
4.030780,4.808652,3.579022,10.000000
5.054934,4.825514,4.553678,10.000000
6.694399,5.683802,2.740477,10.000000
5.231538,5.270473,4.336938,10.000000
5.221212,4.663947,3.267000,10.000000
4.804963,4.163688,3.974983,10.000000
4.702185,5.631702,3.677141,10.000000
2.507818,4.453073,2.622893,10.000000
9.416672,6.591506,2.905853,10.000000
3.068727,5.798001,6.129155,10.000000
4.015337,4.652837,4.107941,10.000000
5.283394,4.250827,4.250821,10.000000
4.621645,4.208952,5.434574,10.000000
4.916587,4.141217,4.262618,10.000000
