X,Y,Z,M
5.311941,5.833704,3.705926,10.000000
5.932825,5.596528,4.744871,10.000000
5.528781,5.953270,3.994969,10.000000
6.834416,5.127265,5.119167,10.000000
5.317279,5.808524,3.878055,10.000000
5.626439,5.731561,4.091643,10.000000
5.627046,5.512416,4.231929,10.000000
5.372715,5.810551,4.044233,10.000000
4.412554,1.023208,3.998021,10.000000
6.849121,5.992738,5.518027,10.000000
5.873385,7.435964,0.534890,10.000000
6.192837,7.082731,3.186867,10.000000
5.677475,5.305870,4.122830,10.000000
5.186898,5.571217,4.522640,10.000000
5.560355,5.365349,4.274505,10.000000
