X,Y,Z,M
2.937767,5.774302,4.992897,10.000000
3.527202,4.899508,5.865260,10.000000
3.671552,5.702591,6.135620,10.000000
9.340078,0.796970,8.591492,10.000000
3.753022,6.160514,5.914287,10.000000
3.109976,4.962329,5.794721,10.000000
2.869379,4.526060,5.747470,10.000000
3.153479,5.290813,6.462033,10.000000
4.660882,7.107482,9.372365,10.000000
2.358084,2.193823,3.333910,10.000000
2.756646,4.467503,7.333074,10.000000
3.373913,6.006149,4.714486,10.000000
3.560286,4.731823,6.000385,10.000000
3.338832,5.967516,3.838567,10.000000
3.002045,4.587788,6.001369,10.000000
