X,Y,Z,M
5.473401,4.648198,3.821531,10.000000
4.732080,3.676257,4.963032,10.000000
5.415097,5.187305,4.725056,10.000000
1.060574,4.233796,3.987578,10.000000
5.594392,5.727472,4.490486,10.000000
5.327367,4.556448,3.699970,10.000000
4.845545,3.989347,4.245665,10.000000
4.828662,5.380873,4.478932,10.000000
1.447552,8.221836,4.116249,10.000000
1.233969,4.357753,0.954065,10.000000
5.681469,5.057324,2.519161,10.000000
4.549844,5.631498,3.636489,10.000000
5.597365,4.067882,4.509233,10.000000
4.617286,4.565357,5.238990,10.000000
4.977600,3.866933,4.674800,10.000000
