X,Y,Z,M
5.612928,4.411015,4.182539,10.000000
5.612825,5.782595,2.656939,10.000000
5.093247,4.151012,3.128327,10.000000
7.218353,5.807706,1.643445,10.000000
5.009950,3.917837,3.295358,10.000000
5.467616,5.003726,3.700160,10.000000
5.969054,5.522099,3.624652,10.000000
5.739278,4.535015,3.042105,10.000000
8.197379,5.508723,8.597119,10.000000
3.916552,5.000288,6.816780,10.000000
4.842558,4.086152,5.419985,10.000000
5.627720,3.813818,4.192178,10.000000
5.158195,5.372811,3.315128,10.000000
6.090799,4.680176,3.194544,10.000000
5.819373,5.573881,3.244411,10.000000
