X,Y,Z,M
3.865286,4.054855,3.135477,10.000000
4.208114,3.060097,4.286422,10.000000
4.336975,4.202572,3.720188,10.000000
3.086915,2.455128,6.993306,10.000000
4.316888,4.268637,3.584496,10.000000
4.190661,3.723725,3.388060,10.000000
3.703256,3.181443,3.603400,10.000000
3.950100,4.048401,3.634070,10.000000
2.973541,7.632602,4.350013,10.000000
1.681082,5.656677,6.150622,10.000000
3.159613,5.941594,2.904277,10.000000
4.367671,4.839202,2.800565,10.000000
4.224853,3.278099,3.757336,10.000000
3.494847,3.666261,3.888209,10.000000
3.777536,3.148986,3.811579,10.000000
