X,Y,Z,M
2.882610,4.634042,6.675599,10.000000
2.358906,5.516766,5.865962,10.000000
2.280070,4.509748,5.643091,10.000000
1.787129,4.699560,5.937996,10.000000
2.213403,4.076166,5.841149,10.000000
2.865882,5.258718,5.947531,10.000000
3.104402,5.713271,6.020397,10.000000
2.828377,4.879663,5.358053,10.000000
7.164808,6.225896,8.507909,10.000000
3.604465,3.114300,3.368442,10.000000
3.893831,4.681063,4.717978,10.000000
2.541537,4.227998,6.993521,10.000000
2.375848,5.532927,5.774831,10.000000
2.563731,4.419338,7.673867,10.000000
2.942729,5.684507,5.765182,10.000000
