X,Y,Z,M
6.449154,4.499319,3.183536,10.000000
4.945215,4.852273,3.036139,10.000000
5.789237,5.270490,3.554688,10.000000
3.457458,5.164751,3.356242,10.000000
5.961409,5.879323,3.372276,10.000000
5.997609,4.989748,2.371577,10.000000
5.655715,4.559263,3.077387,10.000000
5.278105,6.193754,2.887240,10.000000
5.915372,3.779024,9.708540,10.000000
7.552476,5.172064,8.162006,10.000000
6.428431,3.422556,3.233407,10.000000
4.768137,5.617763,2.923424,10.000000
6.123492,4.587883,3.244126,10.000000
5.307121,4.702025,4.575305,10.000000
5.743611,4.475885,3.363879,10.000000
