X,Y,Z,M
7.761600,7.360802,7.495351,10.000000
7.418111,7.579559,7.369446,10.000000
7.665785,7.650454,7.620345,10.000000
3.169621,2.406007,1.882870,10.000000
7.692304,7.714145,7.571959,10.000000
7.672643,7.486376,7.346146,10.000000
7.521968,7.316867,7.483597,10.000000
7.559948,7.702826,7.460600,10.000000
3.194028,2.870877,1.858439,10.000000
3.049034,2.561389,1.736773,10.000000
2.354503,2.831578,1.631539,10.000000
7.494896,7.492832,7.571347,10.000000
7.654273,7.362759,7.576201,10.000000
7.489713,7.473970,7.734379,10.000000
7.551243,7.328386,7.565134,10.000000
