X,Y,Z,M
2.354304,6.082742,5.599013,10.000000
4.078910,6.690636,5.394348,10.000000
3.899244,5.772502,5.656983,10.000000
5.197630,6.044349,1.727803,10.000000
3.595134,5.231677,5.815445,10.000000
2.984253,5.173179,6.356343,10.000000
2.997342,5.273235,5.547747,10.000000
3.742939,4.581613,5.843830,10.000000
2.970401,4.291486,3.416200,10.000000
5.129340,7.913477,7.020005,10.000000
4.991211,4.643060,4.531410,10.000000
4.219365,5.112334,6.183675,10.000000
2.911018,5.629014,5.662399,10.000000
3.314581,5.071367,6.139422,10.000000
3.035590,5.666314,5.212943,10.000000
