X,Y,Z,M
2.450711,4.810351,6.339345,10.000000
2.823625,5.905868,5.463935,10.000000
2.547107,4.279175,5.595313,10.000000
8.296323,7.828423,4.182118,10.000000
2.368598,3.650859,5.833187,10.000000
2.717055,4.791260,6.380278,10.000000
3.024891,5.356424,6.002543,10.000000
3.030906,4.104947,5.688641,10.000000
3.178606,3.668384,4.219275,10.000000
9.634401,6.189674,9.949518,10.000000
4.094683,3.222305,6.317864,10.000000
3.149841,3.849073,6.787639,10.000000
2.242883,5.327629,5.757626,10.000000
2.975142,4.676044,5.961506,10.000000
2.863288,5.511401,5.601253,10.000000
