X,Y,Z,M
4.920508,5.105624,3.519106,10.000000
5.519545,3.564657,4.959329,10.000000
5.721812,5.250605,4.489320,10.000000
0.321460,4.592728,3.375983,10.000000
5.768085,5.377436,4.337997,10.000000
5.190431,4.405544,4.164731,10.000000
4.791334,3.923118,4.050475,10.000000
5.233860,4.566131,4.667488,10.000000
0.695948,7.822946,5.217384,10.000000
1.263647,4.433240,2.100691,10.000000
5.068293,5.896956,2.953051,10.000000
5.431056,5.463665,3.485341,10.000000
5.562621,4.070513,4.378624,10.000000
4.924074,4.806024,3.981148,10.000000
4.968174,3.888792,4.378965,10.000000
