X,Y,Z,M
4.993503,5.538680,3.163287,10.000000
6.129626,5.530851,3.033672,10.000000
5.275045,4.747918,2.494681,10.000000
3.556423,3.170238,7.002615,10.000000
5.119214,4.134239,2.741624,10.000000
5.256834,5.243870,3.801118,10.000000
5.759233,5.874874,3.166080,10.000000
5.942146,3.967226,3.252492,10.000000
1.783589,1.357592,9.440269,10.000000
3.762873,4.898810,8.453753,10.000000
4.785862,7.113707,2.712839,10.000000
6.294530,4.330607,3.427121,10.000000
5.052526,5.805441,2.857794,10.000000
6.046758,5.496232,1.698964,10.000000
5.608380,5.954508,2.796354,10.000000
