X,Y,Z,M
4.919540,5.952117,5.179658,10.000000
6.016122,5.079530,5.334418,10.000000
5.324754,4.886791,4.767110,10.000000
8.289350,9.005456,8.554798,10.000000
5.320319,4.725081,5.026677,10.000000
5.237779,5.444522,5.610946,10.000000
5.747326,6.028132,5.131453,10.000000
5.745820,4.690921,5.301342,10.000000
8.589661,8.584808,9.072521,10.000000
8.345249,8.643079,8.678713,10.000000
9.220107,7.633726,8.268275,10.000000
5.522893,4.933871,4.996858,10.000000
5.309563,5.933247,4.866633,10.000000
6.003681,5.580879,4.253051,10.000000
5.674920,6.020533,4.882303,10.000000
