X,Y,Z,M
4.431343,3.576552,4.831260,10.000000
2.864401,4.896525,3.517526,10.000000
3.743376,4.290111,4.814335,10.000000
4.877922,4.875884,2.084101,10.000000
3.917141,4.601965,4.787763,10.000000
3.825402,4.251219,4.001624,10.000000
3.669847,4.183650,4.255570,10.000000
3.676255,4.878354,4.256604,10.000000
8.307347,8.279089,2.787439,10.000000
6.747082,1.644887,1.030465,10.000000
5.065734,1.502317,4.717432,10.000000
2.879872,3.522035,5.141986,10.000000
3.782835,4.335874,4.438931,10.000000
3.800007,4.061949,4.994749,10.000000
3.742005,4.256366,4.340202,10.000000
