X,Y,Z,M
5.272947,6.572508,4.353167,10.000000
6.789994,5.569548,4.856437,10.000000
5.685279,5.352172,3.980716,10.000000
5.306705,3.270903,2.635763,10.000000
5.656845,5.029558,4.213823,10.000000
5.716522,5.892122,5.089284,10.000000
6.372048,6.609477,4.542408,10.000000
6.323754,4.981927,4.730117,10.000000
2.929761,1.102605,6.374233,10.000000
5.581716,4.401225,2.306455,10.000000
4.846246,9.697835,0.915332,10.000000
6.264915,5.436753,4.228807,10.000000
5.727808,6.424588,4.193839,10.000000
6.589901,6.229297,3.288049,10.000000
6.236718,6.579733,4.256705,10.000000
