X,Y,Z,M
6.617951,8.333968,7.566334,10.000000
8.517091,6.880104,8.606978,10.000000
7.312670,6.945408,7.210114,10.000000
3.345714,1.993919,1.900507,10.000000
6.952093,6.376931,7.462646,10.000000
7.080428,7.447747,8.576221,10.000000
7.909546,8.279709,7.744247,10.000000
7.640630,6.289254,8.076339,10.000000
3.399350,3.008323,1.811445,10.000000
3.103967,2.342200,1.583830,10.000000
1.584354,2.972615,1.390610,10.000000
8.648854,8.366382,6.656402,10.000000
7.367544,8.032748,7.372842,10.000000
8.004039,7.714310,6.510152,10.000000
7.762731,8.154603,7.432249,10.000000
