X,Y,Z,M
7.892780,6.944935,7.398994,10.000000
7.049652,7.692736,6.781029,10.000000
7.505478,7.461936,7.401686,10.000000
2.951690,3.693435,2.138537,10.000000
7.756454,7.804826,7.296699,10.000000
7.692494,7.420936,6.870195,10.000000
7.330000,7.102951,7.263578,10.000000
7.475574,7.911762,7.033938,10.000000
2.908531,2.760858,2.241498,10.000000
3.167976,3.366441,2.429609,10.000000
4.566201,2.764574,2.588623,10.000000
6.754271,6.602063,8.009192,10.000000
7.484270,7.210676,7.367391,10.000000
7.330024,7.214472,7.748748,10.000000
7.388923,7.187257,7.339912,10.000000
