X,Y,Z,M
4.840851,5.847305,2.630218,10.000000
6.235340,4.575342,3.888689,10.000000
5.836381,5.270807,2.920912,10.000000
3.014804,3.616345,6.155824,10.000000
5.709646,4.865146,3.000586,10.000000
5.352813,5.001079,3.726230,10.000000
5.294633,5.074097,3.101285,10.000000
5.772143,4.186810,3.677635,10.000000
3.077354,2.005620,9.764291,10.000000
1.659599,5.065304,8.597294,10.000000
5.836871,6.652388,1.594652,10.000000
6.477548,5.262895,2.812106,10.000000
5.438093,5.147245,3.111581,10.000000
5.520239,5.472940,1.989223,10.000000
5.302165,5.121899,3.074431,10.000000
