X,Y,Z,M
5.485667,4.630998,3.688896,10.000000
6.252705,4.190153,4.743056,10.000000
5.741271,4.465631,3.735059,10.000000
4.088254,4.607584,4.961345,10.000000
5.532734,4.283849,3.693546,10.000000
5.769193,4.414710,4.264173,10.000000
5.873947,4.311376,4.207080,10.000000
5.574234,4.299106,4.069815,10.000000
9.432385,8.190709,8.185120,10.000000
3.729542,8.090925,4.994604,10.000000
4.114146,3.600132,7.951432,10.000000
6.465479,5.514263,3.209895,10.000000
5.912333,4.042080,4.016679,10.000000
5.524409,4.341795,4.078939,10.000000
5.818394,4.169946,4.181552,10.000000
