X,Y,Z,M
5.729445,3.745159,5.161695,10.000000
4.876180,4.391963,4.002419,10.000000
5.379086,3.991597,5.027649,10.000000
8.227118,7.312026,2.019005,10.000000
5.578310,4.199771,5.049946,10.000000
5.364694,4.096770,4.518511,10.000000
5.302805,4.132302,4.597056,10.000000
5.543518,4.276399,4.647082,10.000000
0.395476,2.157037,4.879849,10.000000
5.194964,3.519808,2.954333,10.000000
2.811766,5.704390,7.325787,10.000000
4.674644,3.049452,5.538546,10.000000
5.262910,4.349687,4.783816,10.000000
5.623652,3.993149,4.853745,10.000000
5.355545,4.234949,4.628171,10.000000
