X,Y,Z,M
5.766569,5.251588,2.582029,10.000000
5.449834,4.228256,3.784434,10.000000
6.102375,5.678664,3.519331,10.000000
2.822993,4.425426,4.759022,10.000000
6.189093,6.032458,3.337424,10.000000
5.778197,4.894030,2.763418,10.000000
5.221411,4.327047,2.967356,10.000000
5.335137,5.630830,3.392283,10.000000
4.679278,2.970175,9.861253,10.000000
9.355759,5.143025,8.459988,10.000000
6.692873,4.683729,1.812135,10.000000
5.427814,6.099761,2.456437,10.000000
6.084415,4.462234,3.281343,10.000000
5.079839,5.065452,3.720386,10.000000
5.385217,4.273062,3.350866,10.000000
