X,Y,Z,M
4.735538,3.520239,4.801624,10.000000
3.002766,4.470151,4.183224,10.000000
4.286665,4.692085,5.312837,10.000000
3.333624,5.745237,1.176695,10.000000
4.419099,5.106782,5.074307,10.000000
4.214472,4.200084,3.940696,10.000000
3.536178,3.494931,4.526618,10.000000
3.679841,5.227065,4.442070,10.000000
6.805270,7.906558,2.428219,10.000000
7.068712,1.276402,9.748315,10.000000
5.618207,1.976073,3.821198,10.000000
3.280062,4.609045,4.722204,10.000000
4.253840,3.693780,4.923456,10.000000
3.394542,3.745506,6.028766,10.000000
3.699815,3.492410,4.867465,10.000000
