X,Y,Z,M
3.702582,5.160901,3.750343,10.000000
5.351349,3.942228,4.375679,10.000000
4.287090,3.814157,3.348087,10.000000
9.493227,2.717319,2.285048,10.000000
4.137897,3.481248,3.600249,10.000000
4.187127,4.413278,4.512978,10.000000
4.877679,5.121686,3.881089,10.000000
4.748376,3.433385,4.064658,10.000000
9.417734,1.393627,2.254662,10.000000
9.592072,2.453198,2.308511,10.000000
6.404430,8.298093,2.401819,10.000000
4.966054,4.371695,3.325622,10.000000
4.356534,4.910889,3.531881,10.000000
5.009858,4.612666,2.700264,10.000000
4.747265,5.021029,3.598328,10.000000
