X,Y,Z,M
5.496066,4.305825,4.563152,10.000000
4.267882,5.612502,3.292615,10.000000
4.566612,4.541429,4.077786,10.000000
7.863951,5.258322,4.186213,10.000000
4.658810,4.550723,4.079686,10.000000
4.937404,4.999521,3.879777,10.000000
5.141564,5.205671,4.079493,10.000000
4.923090,4.943002,3.796912,10.000000
3.072112,2.501770,3.466226,10.000000
7.915229,5.533048,2.173121,10.000000
3.265811,6.641347,5.144615,10.000000
4.221095,3.968123,4.739481,10.000000
4.838018,5.153873,3.991350,10.000000
5.092481,4.717721,4.555963,10.000000
5.092875,5.228898,4.000217,10.000000
