X,Y,Z,M
6.341286,4.162196,3.890505,10.000000
5.066433,5.606934,2.516073,10.000000
5.289039,4.524045,3.296813,10.000000
5.295703,5.769886,2.021159,10.000000
5.370188,4.832098,3.302047,10.000000
5.842017,5.053672,2.844289,10.000000
6.023523,5.188838,3.385715,10.000000
5.475143,5.619225,2.720134,10.000000
7.175934,4.677440,9.269186,10.000000
5.597857,5.126103,7.626903,10.000000
5.592402,3.289396,4.731282,10.000000
4.893685,4.518387,3.732013,10.000000
5.652844,5.072659,3.232224,10.000000
5.805054,4.564886,4.202661,10.000000
5.953176,5.160742,3.280832,10.000000
