X,Y,Z,M
7.051926,7.475207,7.304593,10.000000
7.656930,7.127119,7.458440,10.000000
7.188450,6.925608,7.026000,10.000000
3.129711,3.964076,2.393975,10.000000
7.181843,6.853199,7.107594,10.000000
7.211995,7.285814,7.531229,10.000000
7.474564,7.600954,7.301437,10.000000
7.426338,6.900007,7.308620,10.000000
3.072500,2.941506,2.481195,10.000000
3.375767,3.615971,2.714968,10.000000
4.899484,2.991524,2.914857,10.000000
7.407979,7.081291,7.278540,10.000000
7.208523,7.517355,7.117673,10.000000
7.549812,7.272180,6.836039,10.000000
7.419850,7.588343,7.136070,10.000000
