X,Y,Z,M
4.286618,4.007127,4.663704,10.000000
4.016785,3.834749,5.283710,10.000000
4.421679,4.554317,5.181292,10.000000
2.020845,6.313818,0.914285,10.000000
4.378475,4.659218,4.976337,10.000000
4.317888,4.125375,4.598407,10.000000
3.827962,3.524875,4.963247,10.000000
3.913103,4.549889,4.846908,10.000000
5.250060,7.310754,2.240423,10.000000
7.231786,1.065502,8.540731,10.000000
5.550619,3.152291,3.340355,10.000000
4.292607,5.216584,4.315453,10.000000
4.388501,3.544717,5.146852,10.000000
3.521381,3.848229,5.781710,10.000000
3.908584,3.448518,5.202219,10.000000
