X,Y,Z,M
6.275030,4.166053,3.950782,10.000000
5.117763,5.663807,2.499923,10.000000
5.244030,4.452283,3.264960,10.000000
5.550229,5.802691,1.922741,10.000000
5.305728,4.698233,3.293748,10.000000
5.800131,5.054749,2.941427,10.000000
6.037783,5.252800,3.422502,10.000000
5.505882,5.498609,2.735515,10.000000
7.310288,4.781766,9.197802,10.000000
5.380455,5.114404,7.547957,10.000000
5.490245,3.352192,4.859181,10.000000
4.963828,4.401423,3.809759,10.000000
5.583096,5.125757,3.237779,10.000000
5.858254,4.567497,4.095166,10.000000
5.951735,5.234283,3.272825,10.000000
