X,Y,Z,M
4.783716,5.825300,2.773387,10.000000
6.299113,4.840509,3.701935,10.000000
5.671331,5.086541,2.750529,10.000000
3.154481,3.458275,6.433303,10.000000
5.513635,4.551815,2.898977,10.000000
5.288134,5.070570,3.849550,10.000000
5.424077,5.347041,3.143008,10.000000
5.861737,3.981071,3.600949,10.000000
2.681252,1.793562,9.689463,10.000000
2.274534,5.029700,8.586001,10.000000
5.511405,6.944325,1.847684,10.000000
6.550316,4.937223,3.005150,10.000000
5.274122,5.378168,3.036861,10.000000
5.706720,5.507725,1.742245,10.000000
5.373328,5.413269,2.985226,10.000000
