X,Y,Z,M
2.464199,6.400396,3.898568,10.000000
4.329119,6.301775,4.258275,10.000000
4.120611,6.143226,4.750304,10.000000
3.154119,6.303524,7.182106,10.000000
3.952893,6.284049,4.596976,10.000000
2.967148,5.227907,4.853287,10.000000
2.949841,4.762593,4.433193,10.000000
3.452893,5.300799,5.104565,10.000000
7.706253,6.363764,5.839618,10.000000
0.883179,3.655257,4.932661,10.000000
5.221880,4.880766,3.299471,10.000000
4.082924,5.872028,4.022567,10.000000
3.584697,5.135884,4.695931,10.000000
3.374839,5.489076,3.819687,10.000000
3.189056,5.058685,4.435054,10.000000
