X,Y,Z,M
4.292901,4.488279,3.067002,10.000000
5.005357,3.851183,3.896324,10.000000
4.596295,4.248771,3.252934,10.000000
8.725704,3.142344,3.511311,10.000000
4.257535,3.894533,3.275845,10.000000
4.478437,4.079705,3.573898,10.000000
4.702035,4.169854,3.366375,10.000000
4.455932,3.815316,3.496705,10.000000
8.837420,3.186826,3.140211,10.000000
8.739138,3.573092,3.295636,10.000000
7.768891,6.905057,3.805925,10.000000
5.573761,5.493877,2.309150,10.000000
4.705793,4.045474,3.335885,10.000000
4.493577,4.198134,3.222199,10.000000
4.649020,4.053512,3.392802,10.000000
