X,Y,Z,M
5.698630,5.222663,3.418572,10.000000
7.524838,4.086817,4.467707,10.000000
6.241673,4.120658,3.244231,10.000000
2.840368,5.068670,1.239611,10.000000
6.085691,3.702612,3.429631,10.000000
6.285691,4.512924,4.336802,10.000000
6.942698,5.134514,3.824424,10.000000
6.790410,3.620214,3.998585,10.000000
1.424262,4.743405,2.915761,10.000000
2.641605,4.157916,1.855059,10.000000
5.477493,9.231028,4.499029,10.000000
7.268780,4.932450,2.917028,10.000000
6.318048,4.865439,3.464017,10.000000
6.980378,4.743446,2.756216,10.000000
6.770332,5.005212,3.586310,10.000000
