X,Y,Z,M
3.229095,4.963356,4.787034,10.000000
4.114754,3.633675,5.813730,10.000000
4.064620,5.146819,5.681093,10.000000
8.748719,6.434199,4.673582,10.000000
4.071841,5.270620,5.545651,10.000000
3.425438,4.268672,5.551008,10.000000
3.166105,3.810121,5.283214,10.000000
3.664855,4.344486,5.944821,10.000000
8.200754,6.490469,8.533775,10.000000
5.689185,4.853866,2.360843,10.000000
2.206515,6.088857,5.680778,10.000000
3.969570,5.261719,4.636712,10.000000
3.885386,3.972016,5.589709,10.000000
3.581512,4.808620,4.484342,10.000000
3.372940,3.822811,5.505723,10.000000
