X,Y,Z,M
5.728027,5.222733,3.417093,10.000000
7.541688,4.107817,4.529923,10.000000
6.268348,4.190443,3.284504,10.000000
2.830050,5.044670,1.157672,10.000000
6.092256,3.766917,3.452702,10.000000
6.316133,4.530896,4.344682,10.000000
6.952269,5.106108,3.857176,10.000000
6.781917,3.678474,4.017905,10.000000
1.344699,4.642551,2.805461,10.000000
2.644739,4.126917,1.776536,10.000000
5.360282,9.102306,4.440124,10.000000
7.345839,5.092510,2.871892,10.000000
6.356914,4.827589,3.502462,10.000000
6.947868,4.742310,2.860459,10.000000
6.780062,4.965770,3.634624,10.000000
