X,Y,Z,M
5.287813,5.441406,3.961803,10.000000
5.847163,5.092706,3.683451,10.000000
5.333570,4.764791,3.666140,10.000000
4.696510,0.706304,6.011643,10.000000
5.430954,4.627222,3.934081,10.000000
5.382213,5.066675,4.202962,10.000000
5.818499,5.756016,3.776907,10.000000
5.899902,4.524638,4.141737,10.000000
8.083090,4.807698,9.913811,10.000000
4.790781,8.548695,6.733165,10.000000
6.084874,2.645115,5.487450,10.000000
5.421142,3.880491,4.452150,10.000000
5.297623,5.826794,3.631270,10.000000
6.190118,5.590700,2.814712,10.000000
5.746377,5.873106,3.565093,10.000000
