X,Y,Z,M
8.066178,7.092702,7.479652,10.000000
7.122380,7.772646,7.023698,10.000000
7.749636,7.820526,7.715775,10.000000
3.111336,2.555964,1.882627,10.000000
7.890107,8.063977,7.587897,10.000000
7.830637,7.499365,7.011103,10.000000
7.418099,7.067155,7.411669,10.000000
7.540573,8.081700,7.282745,10.000000
3.127534,2.828023,1.880227,10.000000
3.035501,2.643303,1.796677,10.000000
2.630744,2.787784,1.723662,10.000000
7.156637,7.214313,7.844255,10.000000
7.721071,7.191286,7.620976,10.000000
7.355989,7.401352,8.052704,10.000000
7.493830,7.118860,7.591148,10.000000
